,title,abstract,publish_date
0,"Oracle on Track to Acquire NetSuite, a Cloud Storage Company","The company said that holders of 53 percent of unaffiliated NetSuite shares agreed to tender their shares, and the deal will be completed on Monday.",2016-11-05T20:00:00-04:00
1,Volkswagen Emissions Scandal Inquiry Widens to Top Levels,"Prosecutors are investigating whether Hans Dieter Pötsch, the carmaker’s former top finance official, failed to warn shareholders about the scandal.",2016-11-05T20:00:00-04:00
2,A Lawyer With a Taste for Soy Sauce and a High Tolerance for Pain,"Although Jonathan Blum had spent his legal career advising businesses, turning his passion into a company wasn’t as straightforward as he had expected.",2016-11-04T20:00:00-04:00
3,How LinkedIn Drove a Wedge Between Microsoft and Salesforce,"Once so close they flirted with a merger, the software giants became archrivals when they realized the value of the data amassed by social networks.",2016-11-04T20:00:00-04:00
4,Farhad’s and Mike’s Week in Tech: Gaming as Prophylaxis to Elections,"Mike is a medieval witch hunter, as Farhad retreats into Mario. Microsoft’s grab for Slack’s lunch is discussed. And Amazon could do better at inspiring shopping.",2016-11-04T20:00:00-04:00
5,The Money Management Gospel of Yale’s Endowment Guru,"The mammoth Yale endowment fund run by David Swensen has been a training ground for investment managers, its alumni now scattered through the nonprofit world.",2016-11-04T20:00:00-04:00
6,New Item on the College Admission Checklist: LinkedIn Profile,Social media experts are advising high school seniors to create professional profiles on LinkedIn and draw them to the attention of college admissions officers.,2016-11-04T20:00:00-04:00
7,Bill Simmons’s HBO Program Is Canceled,"HBO was eager to tap Mr. Simmons’s base of readers of his sports column, but that audience failed to materialize.",2016-11-03T20:00:00-04:00
8,Wall St. Scion Gets 4 Years in Prison for Fraud,"Andrew Caspersen, a Wall Street executive from a well-off family, received a far shorter sentence than prosecutors sought after a doctor testified he had a gambling addiction.",2016-11-03T20:00:00-04:00
9,Tesla’s Bid for SolarCity Gets Support From Shareholder Adviser,The backing of Institutional Shareholder Services could sway Tesla shareholders because the firm’s recommendations carry great weight among mutual funds.,2016-11-03T20:00:00-04:00
10,Direct Relief Donation Page,Direct Relief's new online donor site.,2016-11-03T20:00:00-04:00
11,Competition Would Be the Best Solution to Rising Drug Prices,"Prosecutors are investigating drug makers for colluding over prices, but higher consumer costs may be a natural consequence of reduced competition.",2016-11-03T20:00:00-04:00
12,"Samsung, Stung by Galaxy Note Failure, Recalls Washing Machines",A recall of 2.8 million washing machines in the United States exceeds the 1.9 million Galaxy Note smartphones recalled last month.,2016-11-03T20:00:00-04:00
13,A Formula for Easier-to-Read Excel Work Sheets,Adding color or a shade of gray to every other row in your spreadsheet can help your eyes focus better on the information.,2016-11-03T20:00:00-04:00
14,Daily Report: Vote Hacking,"With four days to go to the elections, the possibility of hackers prancing into the voting mechanisms is foremost on federal and state officials’ minds.",2016-11-03T20:00:00-04:00
15,Rolling Stone Loses Defamation Case Over Rape Story,"A jury found liability on the part of the magazine, its parent company and the author of the article.",2016-11-03T20:00:00-04:00
